File,CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,HeuBug,HeuBugCount,RealBug,RealBugCount
activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/LoadTest.java,0,3,36,1,0,1,0,1,1,3,0,0,1,1,20,1,1,1,11,0,1,1,1,1,1,1,9,13,1,1.54,3,10,1,8,0,1,1,0,2,0,0,1,1,1,1,1,1,1,1,1,1,2,0.5,0,1,1,1,37,0,1,1,0,1,1,0,FALSE,0,FALSE,0
activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/localBroker/LocalBrokerLoadTest.java,0,3,38,1,0,1,0,1,1,3,0,0,1,1,22,1,1,1,11,0,1,1,1,1,1,1,9,13,1,1.69,3,10,1,8,0,1,1,0,2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,39,0,1,1,0,1,1,0,FALSE,0,FALSE,0
activemq-camel-loadtest/src/test/java/org/apache/activemq/soaktest/localBroker/LocalBrokerParallelProducerLoadTest.java,0,3,38,1,0,1,0,1,1,3,0,0,1,1,22,1,1,1,11,0,1,1,1,1,1,1,9,13,1,1.69,3,10,1,8,0,1,1,0,2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,39,0,1,1,0,1,1,0,FALSE,0,FALSE,0
activemq-console/src/main/java/org/apache/activemq/console/command/AbstractAmqCommand.java,0,10,170,5,0,2,0,18,2,18,0,6,2,7,62,1,7,17,24,7,3,6,0,49,17,11,25,87,37,0.71,21,62,5,45,1,7,3,61,2,1,2,1,5,3.142857143,1,10,4.714285714,1,5,2.428571429,1,4,1.4,0,1,1,1,5,6,1,1,0,1,1,0,FALSE,0,FALSE,0
activemq-console/src/main/java/org/apache/activemq/console/command/AbstractCommand.java,0,7,129,5,0,1,1,16,2,15,0,6,2,6,57,1,6,14,19,4,3,7,2,33,14,8,19,57,25,1,15,44,5,31,0,6,3,70,1,4,2,2,7,3.333333333,1,9,3.166666667,0,5,2.333333333,1,2,1.125,0,1,1,1,9,3,0.992248062,1,0,1,1,1,FALSE,0,FALSE,0
activemq-console/src/main/java/org/apache/activemq/console/command/AbstractJmxCommand.java,0,7,134,5,0,1,1,16,2,13,0,5,2,7,56,1,7,15,19,7,2,6,0,31,15,7,19,64,26,0.88,15,45,5,29,0,7,2,76,2,5,1,1,8,4.142857143,2,10,3.142857143,1,9,2.714285714,1,2,1.111111111,0,1,1,1,3,5,1,1,0,1,1,0,FALSE,0,FALSE,0
activemq-console/src/main/java/org/apache/activemq/console/command/AmqBrowseCommand.java,0,29,240,17,0,4,5,29,9,53,0,15,9,3,67,1,3,26,35,3,5,20,0,106,26,12,35,142,54,0.47,35,89,17,63,8,3,10,53,3,0,4,1,14,8.333333333,2,16,10,1,17,9.333333333,1,3,2.4,0,1,1,1,9,10,1,1,0,1,1,0,FALSE,0,FALSE,0
activemq-console/src/main/java/org/apache/activemq/console/command/BrowseCommand.java,0,24,211,17,0,3,5,26,8,44,0,13,8,3,57,1,3,23,32,3,5,20,0,93,23,9,33,125,44,0.46,29,77,17,55,5,3,9,63,3,0,4,1,14,7.333333333,2,13,9,1,17,8.333333333,1,3,2.4,0,1,1,1,7,8,1,1,0,1,1,0,FALSE,0,FALSE,0
activemq-console/src/main/java/org/apache/activemq/console/command/BstatCommand.java,0,21,73,3,0,3,0,3,3,32,0,9,3,1,25,1,1,3,11,1,1,3,0,30,3,3,11,41,11,0.61,7,22,3,19,2,1,3,100,4,0,0,1,1,1,1,6,6,6,3,3,3,2,2,2,0,0,0,0,0,0.671232877,0,0,2,0,0,FALSE,0,FALSE,0
activemq-console/src/main/java/org/apache/activemq/console/command/Command.java,0,1,34,1,2,1,0,2,1,3,0,2,1,2,21,1,2,2,6,0,0,1,0,0,2,2,6,7,0,3,6,6,1,5,0,2,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,5,0,1,1,0,1,1,0,FALSE,0,FALSE,0
